parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,13897.0,0.0315,True
n_estimators,50,200,10583.0,0.0,True
n_estimators,50,500,10303.0,0.0,True
n_estimators,100,200,11094.0,0.0,True
n_estimators,100,500,10164.0,0.0,True
n_estimators,200,500,14402.0,0.0845,False
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,0.0,0.0,True
max_depth,10.0,nan,0.0,0.0,True
max_depth,20.0,nan,1297.0,0.0,True
max_features,0.5,1.0,5486.0,0.0,True
max_features,0.5,log2,0.0,0.0,True
max_features,0.5,sqrt,2.0,0.0,True
max_features,1.0,log2,2.0,0.0,True
max_features,1.0,sqrt,20.0,0.0,True
max_features,log2,sqrt,457.0,0.0,True
min_samples_split,2,5,1305.0,0.0,True
min_samples_split,2,10,171.0,0.0,True
min_samples_split,2,20,320.0,0.0,True
min_samples_split,5,10,262.0,0.0,True
min_samples_split,5,20,337.0,0.0,True
min_samples_split,10,20,382.0,0.0,True
min_samples_leaf,1,2,2609.0,0.0,True
min_samples_leaf,1,5,722.0,0.0,True
min_samples_leaf,1,10,298.0,0.0,True
min_samples_leaf,2,5,818.0,0.0,True
min_samples_leaf,2,10,352.0,0.0,True
min_samples_leaf,5,10,448.0,0.0,True
