parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,396.0,0.0,True
n_estimators,50,200,0.0,0.0,True
n_estimators,50,500,0.0,0.0,True
n_estimators,100,200,15.0,0.0,True
n_estimators,100,500,0.0,0.0,True
n_estimators,200,500,264.0,0.0,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,0.0,0.0,True
max_depth,10.0,nan,0.0,0.0,True
max_depth,20.0,nan,13332.0,0.0086,True
max_features,0.5,1.0,52.0,0.0,True
max_features,0.5,log2,0.0,0.0,True
max_features,0.5,sqrt,0.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,54.0,0.1459,False
min_samples_split,2,5,1147.0,0.0,True
min_samples_split,2,10,66.0,0.0,True
min_samples_split,2,20,389.0,0.0,True
min_samples_split,5,10,508.0,0.0,True
min_samples_split,5,20,498.5,0.0,True
min_samples_split,10,20,768.5,0.0,True
min_samples_leaf,1,2,6419.0,0.0,True
min_samples_leaf,1,5,1833.0,0.0,True
min_samples_leaf,1,10,319.0,0.0,True
min_samples_leaf,2,5,1792.0,0.0,True
min_samples_leaf,2,10,255.0,0.0,True
min_samples_leaf,5,10,265.0,0.0,True
