parameter,level_1,level_2,stat,p_value,significant
n_estimators,50,100,7090.0,0.0,True
n_estimators,50,200,426.0,0.0,True
n_estimators,50,500,118.0,0.0,True
n_estimators,100,200,784.0,0.0,True
n_estimators,100,500,0.0,0.0,True
n_estimators,200,500,4099.0,0.0,True
max_depth,5.0,10.0,0.0,0.0,True
max_depth,5.0,20.0,0.0,0.0,True
max_depth,5.0,nan,0.0,0.0,True
max_depth,10.0,20.0,0.0,0.0,True
max_depth,10.0,nan,0.0,0.0,True
max_depth,20.0,nan,7979.0,0.0,True
max_features,0.5,1.0,15664.0,0.5085,False
max_features,0.5,log2,0.0,0.0,True
max_features,0.5,sqrt,0.0,0.0,True
max_features,1.0,log2,0.0,0.0,True
max_features,1.0,sqrt,0.0,0.0,True
max_features,log2,sqrt,0.0,0.0,True
min_samples_split,2,5,2335.5,0.0,True
min_samples_split,2,10,548.0,0.0,True
min_samples_split,2,20,795.0,0.0,True
min_samples_split,5,10,498.0,0.0,True
min_samples_split,5,20,795.0,0.0,True
min_samples_split,10,20,796.5,0.0,True
min_samples_leaf,1,2,15139.0,0.2697,False
min_samples_leaf,1,5,5588.0,0.0,True
min_samples_leaf,1,10,1193.0,0.0,True
min_samples_leaf,2,5,2779.0,0.0,True
min_samples_leaf,2,10,1033.0,0.0,True
min_samples_leaf,5,10,909.0,0.0,True
